Group	Country	Rank	Jersey	Position	Age	Selections	Club	Player	Captain		
A	Brazil	3	1	Goalie	31	9	Botafogo   	Jefferson	0		
A	Brazil	3	12	Goalie	34	80	Toronto FC  	Julio Cesar	0		
A	Brazil	3	22	Goalie	31	6	Atletico Mineiro  	Victor	0		
A	Brazil	3	2	Defender	31	75	Barcelona   	Dani Alves	0		
A	Brazil	3	13	Defender	30	12	Bayern Munich  	Dante	0		
A	Brazil	3	4	Defender	27	36	Chelsea   	David Luiz	0		
A	Brazil	3	15	Defender	27	5	Napoli   	Henrique	0		
A	Brazil	3	23	Defender	32	72	Roma   	Maicon	0		
A	Brazil	3	6	Defender	26	31	Real Madrid  	Marcelo	0		
A	Brazil	3	14	Defender	32	9	Paris Saint-Germain  	Maxwell	0
